TransactionID,SellerID,BuyerID,Amount(INR),Date
txn_1,TxUI7188,TxUI430,884850,8/8/2014
txn_2,TxUI430,TxUI160,841210,8/15/2013
txn_3,TxUI3134,TxUI1,684700,5/28/2013
txn_4,TxUI160,TxUI3010,860340,10/12/2012
txn_5,TxUI3010,TxUI89,407550,9/17/2012
txn_6,TxUI804,TxUI1,159140,5/21/2012
txn_7,TxUI1583,TxUI1,487250,3/13/2014
txn_8,TxUI95,TxUI1,277902,11/16/2013
txn_9,TxUI377,TxUI1,457135,10/31/2014
txn_10,TxUI888,TxUI1,362236,4/11/2013
txn_11,TxUI89,TxUI161,266483,11/1/2012
txn_12,TxUI89,TxUI256,275760,9/27/2014
txn_13,TxUI161,TxUI37,259170,10/15/2014
txn_14,TxUI256,TxUI37,417240,7/18/2012
txn_15,TxUI351,TxUI1,63705,11/19/2014
txn_16,TxUI3329,TxUI1,138905,1/17/2014
txn_17,TxUI3341,TxUI1,211265,1/6/2014
txn_18,TxUI649,TxUI1,51195,11/15/2013
txn_19,TxUI1583,TxUI1,139795,10/5/2013
txn_20,TxUI87,TxUI1,378390,10/15/2013
txn_21,TxUI37,TxUI7188,413530,7/17/2013
txn_22,TxUI7188,TxUI3134,367245,9/5/2013
txn_23,TxUI821,TxUI1,186045,5/16/2013
txn_49,TxUI237,TxUI151,164520,9/29/2014
txn_50,TxUI11368,TxUI118,265692,7/22/2011
txn_51,TxUI4485,TxUI197,151824,11/13/2014
txn_52,TxUI240192,TxUI128,124659,1/25/2014
txn_53,TxUI1095,TxUI192,212121,7/31/2013
txn_54,TxUI237834,TxUI124,37800,9/8/2013
txn_55,TxUI12667,TxUI180,295515,7/19/2013
txn_56,TxUI324586,TxUI119,273342,5/31/2013
txn_57,TxUI78357,TxUI160,153573,5/16/2013
txn_58,TxUI49395,TxUI142,216564,3/1/2013
txn_59,TxUI135876,TxUI133,92163,7/2/2013
txn_60,TxUI118013,TxUI145,113607,9/4/2013
txn_61,TxUI52987,TxUI111,244437,2/23/2013
txn_62,TxUI33393,TxUI134,112530,1/4/2013
